name,enabled,postOnly,priceIncrement,sizeIncrement,minProvideSize,last,bid,ask,price,type,baseCurrency,quoteCurrency,underlying,restricted,highLeverageFeeExempt,change1h,change24h,changeBod,quoteVolume24h,volumeUsd24h
BTC/USDT,true,false,1,0.0001,0.0001,39291,39297,39307,39297,spot,BTC,USDT,NaN,false,true,0.00283264431174399,-0.001346886912325286,-0.010798972964808942,64410231.1345,64412807.54374538
BTT-PERP,true,false,5e-8,1000,1000,0.00334185,0.0033404,0.00334185,0.00334185,future,NaN,NaN,BTT,false,false,-0.004868679649812399,0.05999619373870016,0.05689527032369266,17984377.8778,17984377.8778
BYND-0924,true,false,0.01,0.01,0.01,122.89,122.48,122.55,122.55,future,NaN,NaN,BYND,true,true,false,0.005249774423755229,0.005744768157570784,-0.0030911901081916537,577.7637,577.7637
BYND/USD,true,false,0.01,0.01,0.01,123.12,121.84,121.92,121.92,spot,BYND,USD,NaN,true,true,true,0.0051941627504328465,0.005940594059405941,0.005111294311624073,939.1636,939.1636
C98-PERP,true,false,0.0001,1,1,1.1082,1.1048,1.1078,1.1078,future,NaN,NaN,C98,false,false,-0.007347670250896057,-0.03568941504178273,-0.030117317457538085,1190931.9566,1190931.9566
C98/USD,true,false,0.0001,1,1,1.1089,1.109,1.1122,1.109,spot,C98,USD,NaN,false,true,-0.008493518104604381,-0.0362388111584253,-0.029321663019693654,134843.8002,134843.8002
CAD/USD,true,false,0.0001,1,1,0.8002,0.8006,0.8009,0.8006,spot,CAD,USD,NaN,false,true,-0.0006241418050181001,0.003761283851554664,0.0038871473354231975,51932.9151,51932.9151
CAKE-PERP,true,false,0.0025,0.1,0.1,17.28,17.265,17.2675,17.2675,future,NaN,NaN,CAKE,false,false,0.004800698283386674,0.01305368143150484,-0.011874105865522174,13587549.606,13587549.606
CEL-PERP,true,false,0.0005,0.1,0.1,6.0615,6.0515,6.059,6.059,future,NaN,NaN,CEL,false,false,-0.00016501650165016502,0.013719257152417601,0.020721024258760108,433772.65465,433772.65465
CEL-0924,true,false,0.0005,0.1,0.1,6.107,6.0465,6.1105,6.107,future,NaN,NaN,CEL,false,false,0.001229608984342979,0.019787926859814644,0.024750398523366055,114386.59905,114386.59905
CEL/BTC,true,false,1e-8,0.1,0.1,0.00015409,0.00015355,0.00015432,0.00015409,spot,CEL,BTC,NaN,false,true,-0.0019431310318025778,0.016491853024605846,0.029325317301269204,36.861513633,1448288.2741280198
CEL/USD,true,false,0.0005,0.1,0.1,6.039,6.0445,6.056,6.0445,spot,CEL,USD,NaN,false,true,-0.0037906880922950145,0.009182736455463728,0.019222662507377117,3104628.6756,3104628.6756
CGC-0924,true,false,0.0025,0.1,0.1,19.1325,19.135,19.17,19.135,future,NaN,NaN,CGC,true,true,false,0.0036716496197220037,0.03446411677253683,0.041360544217687076,2869.875,2869.875
CGC/USD,true,false,0.0025,0.1,0.1,19.16,19.1025,19.17,19.16,spot,CGC,USD,NaN,true,true,true,0.006170408297229881,0.03539583896244258,0.04357298474945534,89.799,89.799
CHR-PERP,true,false,0.00005,1,1,0.3091,0.3082,0.30865,0.30865,future,NaN,NaN,CHR,false,false,0.000648403306856865,-0.003712072304712718,-0.046199011124845486,1024519.83325,1024519.83325
CHR/USD,true,false,0.00005,1,1,0.30375,0.3078,0.3097,0.3078,spot,CHR,USD,NaN,false,true,0.0030959752321981426,-0.008695652173913044,-0.04454446686326245,13378.9466,13378.9466
CHZ-PERP,true,false,0.000001,10,10,0.262094,0.262093,0.262143,0.262094,future,NaN,NaN,CHZ,false,false,0.00293885797815755,-0.004065905670988433,-0.008860333463168921,6225840.01233,6225840.01233
CHZ-0924,true,false,0.000001,10,10,0.2622,0.264808,0.265674,0.264808,future,NaN,NaN,CHZ,false,false,0.003007416273379442,-0.0042528549780212754,-0.0075964547379466715,49958.70001,49958.70001
CHZ/USD,true,false,0.000001,10,10,0.261891,0.261685,0.262086,0.261891,spot,CHZ,USD,NaN,false,true,0.0016752532960034882,-0.005562812314889351,-0.008882144127642504,153086.95254,153086.95254
CHZ/USDT,true,false,0.000001,10,10,0.262117,0.261705,0.262169,0.262117,spot,CHZ,USDT,NaN,false,true,0.0023556315272216933,-0.005142861480536831,-0.007966785506127423,97434.03025,97437.92761121
CLV-PERP,true,false,0.0005,0.1,0.1,1.046,1.049,1.054,1.049,future,NaN,NaN,CLV,false,false,0.001431980906921241,0.0004768717215069146,-0.07617789520035227,1808648.1164,1808648.1164
CLV/USD,true,false,0.0005,0.1,0.1,1.051,1.0495,1.054,1.051,spot,CLV,USD,NaN,false,true,-0.0009505703422053232,-0.00047551117451260106,-0.07685551163812034,320272.7539,320272.7539
